City,Business Type,Name,Address,Phone Number,Opening Hours
Dijon,cbd shop,Tabac Presse Loto-Jeux CBD,"78 Rue d'Auxonne, 21000 Dijon, France",03 80 67 49 07,"Monday: 6:30 AM – 8:00 PM, Tuesday: 6:30 AM – 8:00 PM, Wednesday: 6:30 AM – 8:00 PM, Thursday: 6:30 AM – 8:00 PM, Friday: 6:30 AM – 8:00 PM, Saturday: 8:00 AM – 8:00 PM, Sunday: Closed"
Dijon,cbd shop,CBD Weed Paradise dijon,"Galerie Bossuet, 9 Rue du Chapeau Rouge, 21000 Dijon, France",06 48 97 68 27,
Angers,cbd shop,Nosferatu&Qlnt,"25 Rue Maillé, 49100 Angers, France",,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours"
Angers,cbd shop,CBD Angers - Kanandja - Boutique de CBD en ligne,"49000 Angers, France",,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours"
Angers,cbd shop,Dream Flower Cbd,"Rue des Cloîtres Saint-Martin, 49100 Angers, France",06 78 86 64 94,
Nîmes,cbd shop,Shop CBD La Voie Du Chanvre Nîmes,"539 Av. Jean Prouvé, 30900 Nîmes, France",04 11 25 01 46,"Monday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Tuesday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Wednesday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Thursday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Friday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Saturday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Sunday: Closed"
Nîmes,cbd shop,Therap CBD,"22 Bd Gambetta CENTRE COMMERCIAL LA COUPOLE, 30000 Nîmes, France",07 86 23 50 60,"Monday: 9:30 AM – 7:00 PM, Tuesday: 9:30 AM – 7:00 PM, Wednesday: 9:30 AM – 7:00 PM, Thursday: 9:30 AM – 7:00 PM, Friday: 9:30 AM – 7:00 PM, Saturday: 9:30 AM – 7:30 PM, Sunday: Closed"
Nîmes,cbd shop,Smoker's Street - Nîmes - Cigarette Electronique E-liquides et CBD,"Centre commercial des 7 Collines, 42 Rue du Forez, 30000 Nîmes, France",07 62 74 90 90,"Monday: 9:00 AM – 7:00 PM, Tuesday: 9:00 AM – 7:00 PM, Wednesday: 9:00 AM – 7:00 PM, Thursday: 9:00 AM – 7:00 PM, Friday: 9:00 AM – 7:00 PM, Saturday: 9:00 AM – 7:00 PM, Sunday: Closed"
Nîmes,cbd shop,Nîmes chicha,"71 Rte de Beaucaire, 30000 Nîmes, France",04 85 23 58 47,"Monday: 10:00 AM – 7:00 PM, Tuesday: 10:00 AM – 7:00 PM, Wednesday: 10:00 AM – 7:00 PM, Thursday: 10:00 AM – 7:00 PM, Friday: 10:00 AM – 7:00 PM, Saturday: 10:00 AM – 7:00 PM, Sunday: 10:00 AM – 7:00 PM"
Villeurbanne,cbd shop,Vapo Viridis Shop | Magasin cigarette électroniques & CBD,"48 Rue du 8 Mai 1945, 69100 Villeurbanne, France",,"Monday: 7:00 AM – 11:00 PM, Tuesday: 7:00 AM – 11:00 PM, Wednesday: 7:00 AM – 11:00 PM, Thursday: 7:00 AM – 11:00 PM, Friday: 7:00 AM – 11:00 PM, Saturday: 7:00 AM – 11:00 PM, Sunday: Closed"
Villeurbanne,cbd shop,WARDA SHOP,"12 Av. Antoine Dutrievoz, 69100 Villeurbanne, France",04 11 62 46 83,"Monday: 11:00 AM – 7:00 PM, Tuesday: 11:00 AM – 7:00 PM, Wednesday: 11:00 AM – 7:00 PM, Thursday: 11:00 AM – 7:00 PM, Friday: 11:00 AM – 7:00 PM, Saturday: 11:00 AM – 8:00 PM, Sunday: 11:00 AM – 8:00 PM"
La Rochelle,cbd shop,Lin’jy shop CBD la rochelle,"6 Rue du Cordouan, 17000 La Rochelle, France",05 48 19 82 53,"Monday: 2:00 – 6:00 PM, Tuesday: 10:30 AM – 6:30 PM, Wednesday: 10:30 AM – 6:30 PM, Thursday: 10:30 AM – 6:30 PM, Friday: 10:30 AM – 7:00 PM, Saturday: 10:30 AM – 7:00 PM, Sunday: Closed"
La Rochelle,cbd shop,Art De Nature - CBD Shop - Livraison,"4 Rue des Dames, 17000 La Rochelle, France",07 61 60 17 69,"Monday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Tuesday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Wednesday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Thursday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Friday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Saturday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Sunday: Closed"
La Rochelle,cbd shop,H4CBD / THCP /CBD Shop La Rochelle Marakush,"11 Rue du Cerf-Volant, 17000 La Rochelle, France",06 20 23 84 48,
Le Mans,cbd shop,CBD Le Mans Gorilla Coffeeshop,"195 Rue nationale, 72000 Le Mans, France",07 83 74 06 28,"Monday: 9:00 AM – 7:00 PM, Tuesday: 9:00 AM – 7:00 PM, Wednesday: 9:00 AM – 7:00 PM, Thursday: 9:00 AM – 7:00 PM, Friday: 9:00 AM – 7:00 PM, Saturday: 10:00 AM – 7:00 PM, Sunday: Closed"
Le Mans,cbd shop,Zad Cbd Coffee Shop,"22 Rue nationale, 72100 Le Mans, France",,
Le Mans,cbd shop,LaB CBD,"77 Av. du Panorama, 72100 Le Mans, France",,
Aix-en-Provence,cbd shop,Pure Plant CBD,"8 Rue Peyresc, 13100 Aix-en-Provence, France",07 83 67 43 54,"Monday: 2:00 – 10:00 PM, Tuesday: 2:00 – 10:00 PM, Wednesday: 2:00 – 10:00 PM, Thursday: 2:00 – 10:00 PM, Friday: 2:00 – 10:00 PM, Saturday: 2:00 – 10:00 PM, Sunday: Closed"
Aix-en-Provence,cbd shop,Cbd pas cher 13 / H4CBD-THCP,"18 Rue de la Verrerie, 13100 Aix-en-Provence, France",06 21 56 40 16,"Monday: 11:30 AM – 7:30 PM, Tuesday: 11:30 AM – 7:30 PM, Wednesday: 11:30 AM – 7:30 PM, Thursday: 11:30 AM – 7:30 PM, Friday: 11:30 AM – 7:30 PM, Saturday: 11:30 AM – 7:30 PM, Sunday: Closed"
Aix-en-Provence,cbd shop,Maky - CBD,"13 Rue Van Loo, 13100 Aix-en-Provence, France",09 82 46 61 04,"Monday: Closed, Tuesday: 10:15 AM – 6:00 PM, Wednesday: Closed, Thursday: 10:15 AM – 6:00 PM, Friday: Closed, Saturday: 12:00 – 7:00 PM, Sunday: Closed"
Aix-en-Provence,cbd shop,THCP - H4CBD - H3CBN - Aix-en-Provence - Marseille,"80 Rue des Cordeliers, 13100 Aix-en-Provence, France",09 83 27 12 60,"Monday: 11:00 AM – 1:30 PM, 2:30 – 7:00 PM, Tuesday: 11:00 AM – 1:30 PM, 2:30 – 7:00 PM, Wednesday: 11:00 AM – 1:30 PM, 2:30 – 7:00 PM, Thursday: 11:00 AM – 1:30 PM, 2:30 – 7:00 PM, Friday: 11:00 AM – 1:30 PM, 2:30 – 7:00 PM, Saturday: 11:00 AM – 1:30 PM, 2:30 – 7:00 PM, Sunday: 11:00 AM – 1:30 PM, 2:30 – 7:00 PM"
Brest,cbd shop,Distributeur de CBD 24/24h Brest,"124 Rue Jean Jaurès, 29200 Brest, France",,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours"
Brest,cbd shop,O'CBD Shop Brest,"7 Rue Coat ar Gueven, 29200 Brest, France",02 98 44 93 79,"Monday: 10:00 AM – 1:00 PM, 2:00 – 7:30 PM, Tuesday: 10:00 AM – 1:00 PM, 2:00 – 7:30 PM, Wednesday: 10:00 AM – 1:00 PM, 2:00 – 7:30 PM, Thursday: 10:00 AM – 1:00 PM, 2:00 – 7:30 PM, Friday: 10:00 AM – 1:00 PM, 2:00 – 7:30 PM, Saturday: 10:00 AM – 1:00 PM, 2:00 – 7:30 PM, Sunday: Closed"
Brest,cbd shop,Purple Store - Boutique CBD Bien-être,"15 Rue Amiral Linois, 29200 Brest, France",02 29 61 53 25,"Monday: 10:00 AM – 12:00 PM, 2:00 – 7:00 PM, Tuesday: 10:00 AM – 12:00 PM, 2:00 – 7:00 PM, Wednesday: 10:00 AM – 12:00 PM, 2:00 – 7:00 PM, Thursday: Closed, Friday: 10:00 AM – 12:00 PM, 2:00 – 7:00 PM, Saturday: 10:00 AM – 12:00 PM, 2:00 – 7:00 PM, Sunday: Closed"
Brest,cbd shop,L’EcoVapoteur - Cigarette Electronique Brest Centre - VAPE & CBD,"35 Rue Yves Collet, 29200 Brest, France",02 29 62 13 05,"Monday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Tuesday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Wednesday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Thursday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Friday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Saturday: 10:00 AM – 1:00 PM, 1:30 – 7:00 PM, Sunday: Closed"
Tours,cbd shop,CBD Tours - Le Chanvre Breton,"32 Rue Colbert, 37000 Tours, France",06 41 39 31 64,"Monday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Tuesday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Wednesday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Thursday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Friday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Saturday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Sunday: Closed"
Tours,cbd shop,MARAKUSH CBD-H4CBD-H3CBN-TOURS,"12 Rue Jules Charpentier, 37000 Tours, France",09 81 83 61 25,"Monday: Closed, Tuesday: 11:00 AM – 1:00 PM, 2:00 – 7:00 PM, Wednesday: 11:00 AM – 1:00 PM, 2:00 – 7:00 PM, Thursday: 11:00 AM – 1:00 PM, 2:00 – 7:00 PM, Friday: 11:00 AM – 1:00 PM, 2:00 – 7:00 PM, Saturday: 11:00 AM – 1:00 PM, 2:00 – 7:00 PM, Sunday: Closed"
Tours,cbd shop,la-vapetourangelle.fr : cigarette electronique e-liquide & CBD Shop,"53 Av. André Maginot, 37100 Tours, France",06 19 23 11 66,"Monday: 10:00 AM – 12:30 PM, 1:30 – 8:30 PM, Tuesday: 10:00 AM – 12:30 PM, 1:30 – 8:30 PM, Wednesday: 10:00 AM – 1:30 PM, 2:30 – 8:00 PM, Thursday: 10:00 AM – 12:30 PM, 1:30 – 8:00 PM, Friday: 10:00 AM – 12:30 PM, 1:30 – 8:00 PM, Saturday: 10:00 AM – 1:30 PM, 2:30 – 8:00 PM, Sunday: 10:00 AM – 12:30 PM, 1:30 – 8:00 PM"
Tours,cbd shop,CBD Tours - Ligne Verte CBD Products,"83 Rue Colbert, 37000 Tours, France",02 47 20 73 19,
Tours,cbd shop,CBD Tours - Le Chanvre Breton place du monstre,"49 Pl. du Grand Marché, 37000 Tours, France",,
Tours,cbd shop,CBD joue les tours - Le Chanvre Breton,"49 Rue Gamard, 37300 Joué-lès-Tours, France",07 84 88 85 81,"Monday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Tuesday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Wednesday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Thursday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Friday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Saturday: 11:00 AM – 1:30 PM, 2:30 – 7:30 PM, Sunday: Closed"
Amiens,cbd shop,VALALA - CBD SHOP,"7 Rue Saint-Jacques, 80000 Amiens, France",03 65 67 11 70,"Monday: 2:00 – 9:00 PM, Tuesday: 2:00 – 9:00 PM, Wednesday: 2:00 – 9:00 PM, Thursday: 2:00 – 9:00 PM, Friday: 2:00 – 9:00 PM, Saturday: 2:00 – 9:00 PM, Sunday: Closed"
Amiens,cbd shop,O'ZEN - Weed Paradise Amiens - CBD Shop,"37 Rue du Général Leclerc, 80000 Amiens, France",03 22 49 83 19,"Monday: 2:00 – 7:00 PM, Tuesday: 10:00 AM – 12:00 PM, 2:00 – 8:00 PM, Wednesday: 10:00 AM – 12:00 PM, 2:00 – 8:00 PM, Thursday: 10:00 AM – 12:00 PM, 2:00 – 8:00 PM, Friday: 10:00 AM – 12:00 PM, 2:00 – 8:00 PM, Saturday: 10:00 AM – 12:00 PM, 2:00 – 8:00 PM, Sunday: Closed"
Amiens,cbd shop,CBD Shop - Premium CBD France,"186 Chau. Jules Ferry, 80090 Amiens, France",03 22 48 26 69,"Monday: 11:00 AM – 7:00 PM, Tuesday: 11:00 AM – 7:00 PM, Wednesday: 11:00 AM – 7:00 PM, Thursday: 11:00 AM – 7:00 PM, Friday: 11:00 AM – 7:00 PM, Saturday: 11:00 AM – 7:00 PM, Sunday: Closed"
Amiens,cbd shop,Essence & bien-être CBD,"3 All. du Cahier Gris, 80080 Amiens, France",06 50 27 82 62,
Amiens,cbd shop,M&J Green CBD Shop Amiens,"10 Rue Robert Pierre, 80000 Amiens, France",,
Amiens,cbd shop,Le Therapeute,"18 Rue Saint-Martin aux Waides, 80000 Amiens, France",,"Monday: 10:00 AM – 7:30 PM, Tuesday: 10:00 AM – 7:30 PM, Wednesday: 10:00 AM – 7:30 PM, Thursday: 10:00 AM – 7:30 PM, Friday: 10:00 AM – 7:30 PM, Saturday: 10:00 AM – 7:30 PM, Sunday: Closed"
Limoges,cbd shop,La chanvre du cbd - H4CBD,"33 Av. de Louyat, 87100 Limoges, France",06 27 92 03 89,"Monday: 11:30 AM – 10:00 PM, Tuesday: 2:00 – 9:00 PM, Wednesday: 2:00 – 9:00 PM, Thursday: 2:00 – 9:00 PM, Friday: 2:00 – 9:00 PM, Saturday: 2:00 – 9:00 PM, Sunday: 10:00 AM – 1:00 PM"
